fecha;valor
2000-06-01;1.0
2000-07-01;1.0
2000-08-01;1.0
2000-09-01;1.0
2000-10-01;1.0
2000-11-01;1.0
2000-12-01;1.0
2001-01-01;1.0
2001-02-01;1.0
2001-03-01;1.0
2001-04-01;1.0
2001-05-01;1.0
2001-06-01;1.0
2001-07-01;1.0
2001-08-01;1.0
2001-09-01;1.0
2001-10-01;1.0
2001-11-01;1.0
2001-12-01;1.0
2002-01-01;1.1
2002-02-01;1.9
2002-03-01;2.2
2002-04-01;3.0
2002-05-01;3.0
2002-06-01;3.6
2002-07-01;3.9
2002-08-01;3.7
2002-09-01;3.6
2002-10-01;3.8
2002-11-01;3.5
2002-12-01;3.7
2003-01-01;3.4
2003-02-01;3.2
2003-03-01;3.2
2003-04-01;3.0
2003-05-01;2.8
2003-06-01;2.9
2003-07-01;2.8
2003-08-01;2.9
2003-09-01;3.0
2003-10-01;2.9
2003-11-01;2.9
2003-12-01;3.0
2004-01-01;3.0
2004-02-01;2.9
2004-03-01;2.9
2004-04-01;2.9
2004-05-01;2.8
2004-06-01;3.0
2004-07-01;3.0
2004-08-01;3.0
2004-09-01;3.0
2004-10-01;3.0
2004-11-01;3.0
2004-12-01;2.9
2005-01-01;3.0
2005-02-01;2.9
2005-03-01;2.9
2005-04-01;2.9
2005-05-01;2.9
2005-06-01;2.9
2005-07-01;2.9
2005-08-01;2.9
2005-09-01;2.9
2005-10-01;2.9
2005-11-01;3.0
2005-12-01;3.0
2006-01-01;3.0
2006-02-01;3.1
2006-03-01;3.1
2006-04-01;3.1
2006-05-01;3.1
2006-06-01;3.1
2006-07-01;3.1
2006-08-01;3.1
2006-09-01;3.1
2006-10-01;3.1
2006-11-01;3.1
2006-12-01;3.1
2007-01-01;3.1
2007-02-01;3.1
2007-03-01;3.1
2007-04-01;3.1
2007-05-01;3.1
2007-06-01;3.1
2007-07-01;3.1
2007-08-01;3.2
2007-09-01;3.2
2007-10-01;3.2
2007-11-01;3.2
2007-12-01;3.2
2008-01-01;3.2
2008-02-01;3.2
2008-03-01;3.2
2008-04-01;3.2
2008-05-01;3.2
2008-06-01;3.2
2008-07-01;3.1
2008-08-01;3.1
2008-09-01;3.1
2008-10-01;3.2
2008-11-01;3.5
2008-12-01;3.4
2009-01-01;3.5
2009-02-01;3.5
2009-03-01;3.6
2009-04-01;3.8
2009-05-01;3.7
2009-06-01;3.8
2009-07-01;3.8
2009-08-01;3.9
2009-09-01;3.8
2009-10-01;3.8
2009-11-01;3.8
2009-12-01;3.8
2010-01-01;3.9
2010-02-01;3.9
2010-03-01;3.9
2010-04-01;3.9
2010-05-01;3.9
2010-06-01;4.0
2010-07-01;4.0
2010-08-01;4.0
2010-09-01;4.0
2010-10-01;4.0
2010-11-01;4.0
2010-12-01;4.1
2011-01-01;4.1
2011-02-01;4.1
2011-03-01;4.2
2011-04-01;4.2
2011-05-01;4.3
2011-06-01;4.3
2011-07-01;4.3
2011-08-01;4.3
2011-09-01;4.4
2011-10-01;4.4
2011-11-01;4.5
2011-12-01;4.8
2012-01-01;4.7
2012-02-01;4.8
2012-03-01;4.7
2012-04-01;4.9
2012-05-01;5.1
2012-06-01;5.9
2012-07-01;6.0
2012-08-01;6.3
2012-09-01;6.4
2012-10-01;6.3
2012-11-01;6.3
2012-12-01;6.4
2013-01-01;6.8
2013-02-01;7.9
2013-03-01;7.8
2013-04-01;8.4
2013-05-01;9.4
2013-06-01;8.8
2013-07-01;8.1
2013-08-01;8.6
2013-09-01;9.3
2013-10-01;9.5
2013-11-01;9.9
2013-12-01;9.6
2014-01-01;10.0
2014-02-01;12.7
2014-03-01;11.2
2014-04-01;10.8
2014-05-01;10.6
2014-06-01;11.4
2014-07-01;12.2
2014-08-01;12.7
2014-09-01;14.1
2014-10-01;15.7
2014-11-01;14.3
2014-12-01;13.1
2015-01-01;14.1
2015-02-01;13.6
2015-03-01;13.0
2015-04-01;12.6
2015-05-01;12.7
2015-06-01;12.7
2015-07-01;13.4
2015-08-01;14.9
2015-09-01;15.5
2015-10-01;16.0
2015-11-01;15.8
2015-12-01;14.7
2016-01-01;14.3
2016-02-01;14.3
2016-03-01;15.6
2016-04-01;15.3
2016-05-01;14.7
2016-06-01;14.5
2016-07-01;14.9
2016-08-01;15.5
2016-09-01;15.4
2016-10-01;15.7
2016-11-01;15.6
2016-12-01;16.1
2017-01-01;16.9
2017-02-01;16.6
2017-03-01;16.3
2017-04-01;16.0
2017-05-01;16.0
2017-06-01;16.4
2017-07-01;16.8
2017-08-01;18.1
2017-09-01;18.3
2017-10-01;17.9
2017-11-01;18.1
2017-12-01;18.0
2018-01-01;19.3
2018-02-01;19.9
2018-03-01;20.3
2018-04-01;20.8
2018-05-01;20.9
2018-06-01;26.0
2018-07-01;28.9
2018-08-01;28.2
2018-09-01;37.5
2018-10-01;39.8
2018-11-01;35.8
2018-12-01;36.8
2019-01-01;40.5
2019-02-01;37.5
2019-03-01;39.0
2019-04-01;43.6
2019-05-01;46.0
2019-06-01;46.0
2019-07-01;43.8
2019-08-01;45.2
2019-09-01;63.0
2019-10-01;61.2
2019-11-01;69.0
2019-12-01;69.2
2020-01-01;78.5
2020-02-01;78.0
2020-03-01;78.5
2020-04-01;83.5
2020-05-01;118.0
2020-06-01;125.0
2020-07-01;126.0
2020-08-01;136.0
2020-09-01;135.0
2020-10-01;146.0
2020-11-01;169.0
2020-12-01;155.0
2021-01-01;166.0
2021-02-01;153.0
2021-03-01;146.0
2021-04-01;141.0
2021-05-01;150.0
2021-06-01;157.0
2021-07-01;168.0
2021-08-01;180.5
2021-09-01;182.0
2021-10-01;186.0
2021-11-01;197.5
2021-12-01;201.5
2022-01-01;208.0
2022-02-01;213.0
2022-03-01;211.0
2022-04-01;200.0
2022-05-01;200.5
2022-06-01;206.0
2022-07-01;238.0
2022-08-01;296.0
2022-09-01;290.0
2022-10-01;288.0
2022-11-01;290.0
2022-12-01;314.0
2023-01-01;346.0
2023-02-01;383.0
2023-03-01;377.0
2023-04-01;393.0
2023-05-01;467.0
2023-06-01;493.0
2023-07-01;493.0
2023-08-01;550.0
2023-09-01;735.0
2023-10-01;800.0
2023-11-01;920.0
2023-12-01;905.0
2024-01-01;1025.0
2024-02-01;1195.0
2024-03-01;1045.0
2024-04-01;1010.0
2024-05-01;1040.0
2024-06-01;1225.0
2024-07-01;1365.0
2024-08-01;1370.0
2024-09-01;1315.0
