fecha;valor
2002-04-01;2.9
2002-05-01;2.9
2002-06-01;3.6
2002-07-01;3.8
2002-08-01;3.7
2002-09-01;3.6
2002-10-01;3.7
2002-11-01;3.5
2002-12-01;3.6
2003-01-01;3.4
2003-02-01;3.2
2003-03-01;3.2
2003-04-01;3.0
2003-05-01;2.8
2003-06-01;2.9
2003-07-01;2.8
2003-08-01;2.9
2003-09-01;3.0
2003-10-01;2.9
2003-11-01;2.9
2003-12-01;3.0
2004-01-01;2.9
2004-02-01;2.9
2004-03-01;2.9
2004-04-01;2.9
2004-05-01;2.9
2004-06-01;3.0
2004-07-01;3.0
2004-08-01;3.0
2004-09-01;3.0
2004-10-01;3.0
2004-11-01;3.0
2004-12-01;3.0
2005-01-01;3.0
2005-02-01;2.9
2005-03-01;2.9
2005-04-01;2.9
2005-05-01;2.9
2005-06-01;2.9
2005-07-01;2.9
2005-08-01;2.9
2005-09-01;2.9
2005-10-01;2.9
2005-11-01;3.0
2005-12-01;3.0
2006-01-01;3.0
2006-02-01;3.1
2006-03-01;3.1
2006-04-01;3.1
2006-05-01;3.0
2006-06-01;3.1
2006-07-01;3.1
2006-08-01;3.1
2006-09-01;3.1
2006-10-01;3.1
2006-11-01;3.1
2006-12-01;3.1
2007-01-01;3.1
2007-02-01;3.1
2007-03-01;3.1
2007-04-01;3.1
2007-05-01;3.1
2007-06-01;3.1
2007-07-01;3.1
2007-08-01;3.1
2007-09-01;3.2
2007-10-01;3.1
2007-11-01;3.1
2007-12-01;3.1
2008-01-01;3.1
2008-02-01;3.2
2008-03-01;3.2
2008-04-01;3.2
2008-05-01;3.2
2008-06-01;3.1
2008-07-01;3.0
2008-08-01;3.0
2008-09-01;3.0
2008-10-01;3.1
2008-11-01;3.4
2008-12-01;3.4
2009-01-01;3.5
2009-02-01;3.5
2009-03-01;3.6
2009-04-01;3.7
2009-05-01;3.7
2009-06-01;3.8
2009-07-01;3.8
2009-08-01;3.8
2009-09-01;3.9
2009-10-01;3.8
2009-11-01;3.8
2009-12-01;3.8
2010-01-01;3.8
2010-02-01;3.8
2010-03-01;3.9
2010-04-01;3.9
2010-05-01;3.9
2010-06-01;3.9
2010-07-01;3.9
2010-08-01;3.9
2010-09-01;4.0
2010-10-01;4.0
2010-11-01;4.0
2010-12-01;4.0
2011-01-01;4.0
2011-02-01;4.0
2011-03-01;4.0
2011-04-01;4.0
2011-05-01;4.1
2011-06-01;4.1
2011-07-01;4.1
2011-08-01;4.1
2011-09-01;4.2
2011-10-01;4.2
2011-11-01;4.2
2011-12-01;4.3
2012-01-01;4.3
2012-02-01;4.3
2012-03-01;4.4
2012-04-01;4.4
2012-05-01;4.4
2012-06-01;4.5
2012-07-01;4.5
2012-08-01;4.6
2012-09-01;4.6
2012-10-01;4.7
2012-11-01;4.8
2012-12-01;4.8
2013-01-01;4.9
2013-02-01;5.0
2013-03-01;5.0
2013-04-01;5.1
2013-05-01;5.2
2013-06-01;5.3
2013-07-01;5.4
2013-08-01;5.5
2013-09-01;5.7
2013-10-01;5.8
2013-11-01;5.9
2013-12-01;6.1
2014-01-01;6.5
2014-02-01;8.0
2014-03-01;7.9
2014-04-01;8.0
2014-05-01;8.0
2014-06-01;8.1
2014-07-01;8.1
2014-08-01;8.2
2014-09-01;8.4
2014-10-01;8.5
2014-11-01;8.5
2014-12-01;8.5
2015-01-01;8.6
2015-02-01;8.6
2015-03-01;8.7
2015-04-01;8.8
2015-05-01;8.9
2015-06-01;9.0
2015-07-01;9.1
2015-08-01;9.2
2015-09-01;9.3
2015-10-01;9.4
2015-11-01;9.6
2015-12-01;9.7
2016-01-01;13.0
2016-02-01;13.9
2016-03-01;15.6
2016-04-01;14.6
2016-05-01;14.3
2016-06-01;14.0
2016-07-01;14.9
2016-08-01;15.0
2016-09-01;14.9
2016-10-01;15.3
2016-11-01;15.2
2016-12-01;15.8
2017-01-01;15.8
2017-02-01;15.9
2017-03-01;15.5
2017-04-01;15.4
2017-05-01;15.4
2017-06-01;16.1
2017-07-01;16.6
2017-08-01;17.7
2017-09-01;17.4
2017-10-01;17.3
2017-11-01;17.7
2017-12-01;17.4
2018-01-01;18.8
2018-02-01;19.6
2018-03-01;20.1
2018-04-01;20.1
2018-05-01;20.7
2018-06-01;24.9
2018-07-01;28.9
2018-08-01;27.3
2018-09-01;37.1
2018-10-01;40.9
2018-11-01;36.2
2018-12-01;38.0
2019-01-01;37.8
2019-02-01;37.0
2019-03-01;39.0
2019-04-01;43.4
2019-05-01;44.0
2019-06-01;44.9
2019-07-01;42.5
2019-08-01;43.9
2019-09-01;59.1
2019-10-01;57.6
2019-11-01;59.7
2019-12-01;59.9
2020-01-01;59.9
2020-02-01;60.3
2020-03-01;62.2
2020-04-01;64.5
2020-05-01;66.8
2020-06-01;68.5
2020-07-01;70.5
2020-08-01;72.3
2020-09-01;74.2
2020-10-01;76.2
2020-11-01;78.3
2020-12-01;81.3
2021-01-01;84.2
2021-02-01;87.3
2021-03-01;89.8
2021-04-01;92.0
2021-05-01;93.6
2021-06-01;94.7
2021-07-01;95.7
2021-08-01;96.7
2021-09-01;97.8
2021-10-01;98.7
2021-11-01;99.7
2021-12-01;100.9
2022-01-01;102.8
2022-02-01;105.0
2022-03-01;107.4
2022-04-01;111.0
2022-05-01;115.3
2022-06-01;120.2
2022-07-01;125.2
2022-08-01;131.2
2022-09-01;138.7
2022-10-01;147.3
2022-11-01;156.9
2022-12-01;167.3
2023-01-01;177.1
2023-02-01;186.9
2023-03-01;197.2
2023-04-01;209.0
2023-05-01;222.6
2023-06-01;239.3
2023-07-01;256.7
2023-08-01;275.3
2023-09-01;350.0
2023-10-01;350.0
2023-11-01;350.0
2023-12-01;360.5
2024-01-01;808.5
2024-02-01;826.2
2024-03-01;842.2
2024-04-01;857.4
2024-05-01;864.8
