fecha;valor
2021-12-01;542600.00
2022-01-01;542600.00
2022-02-01;542600.00
2022-03-01;542600.00
2022-04-01;553500.00
2022-05-01;581100.00
2022-06-01;616000.00
2022-07-01;708400.00
2022-08-01;779240.00
2022-09-01;818200.00
2022-10-01;842700.00
2022-11-01;842700.00
2022-12-01;842700.00
2023-01-01;991100.00
2023-02-01;1040600.00
2023-03-01;1095800.00
2023-04-01;1205300.00
2023-05-01;1506600.00
2023-06-12;1642900.00
2023-07-01;1642900.00
2023-08-01;1766100.00
2023-09-01;2053600.00
2023-10-01;2053600.00
2023-11-01;2156200.00
2023-12-01;2479700.00
2024-01-01;3707100.00
2024-02-01;3892400.00
2024-03-01;4087100.00
2024-04-01;4495800.00
2024-05-01;4990300.00
2024-06-01;5165000.00
2024-07-01;5243700.00
2024-08-01;5610700.00
