fecha,dolar_oficial
2002-03-04,2.0
2002-03-05,2.0
2002-03-06,2.0
2002-03-07,2.1
2002-03-08,2.2
2002-03-11,2.2
2002-03-12,2.4
2002-03-13,2.3
2002-03-14,2.4
2002-03-15,2.3
2002-03-18,2.3
2002-03-19,2.4
2002-03-20,2.4
2002-03-21,2.4
2002-03-22,2.6
2002-03-25,3.2
2002-03-26,3.0
2002-03-27,2.9
2002-04-02,2.9
2002-04-03,2.9
2002-04-04,2.8
2002-04-05,2.7
2002-04-08,2.7
2002-04-09,2.8
2002-04-10,2.8
2002-04-11,2.8
2002-04-12,2.9
2002-04-15,2.9
2002-04-16,2.9
2002-04-17,2.8
2002-04-18,2.9
2002-04-19,3.1
2002-04-29,3.0
2002-04-30,2.9
2002-05-02,3.0
2002-05-03,3.2
2002-05-06,3.2
2002-05-07,3.2
2002-05-08,3.2
2002-05-09,3.2
2002-05-10,3.2
2002-05-13,3.3
2002-05-14,3.3
2002-05-15,3.2
2002-05-16,3.2
2002-05-17,3.3
2002-05-20,3.5
2002-05-21,3.5
2002-05-22,3.4
2002-05-23,3.4
2002-05-24,3.4
2002-05-27,3.5
2002-05-28,3.5
2002-05-29,3.5
2002-05-30,3.6
2002-05-31,3.6
2002-06-03,3.6
2002-06-04,3.6
2002-06-05,3.6
2002-06-06,3.6
2002-06-07,3.6
2002-06-10,3.5
2002-06-11,3.5
2002-06-12,3.5
2002-06-13,3.5
2002-06-14,3.5
2002-06-18,3.5
2002-06-19,3.5
2002-06-20,3.6
2002-06-21,3.6
2002-06-24,3.7
2002-06-25,3.9
2002-06-26,3.9
2002-06-27,3.8
2002-06-28,3.8
2002-07-01,3.8
2002-07-02,3.7
2002-07-03,3.6
2002-07-04,3.6
2002-07-05,3.6
2002-07-08,3.5
2002-07-10,3.5
2002-07-11,3.6
2002-07-12,3.6
2002-07-15,3.6
2002-07-16,3.6
2002-07-17,3.5
2002-07-18,3.5
2002-07-19,3.6
2002-07-22,3.6
2002-07-23,3.6
2002-07-24,3.6
2002-07-25,3.6
2002-07-26,3.7
2002-07-29,3.6
2002-07-30,3.6
2002-07-31,3.7
2002-08-01,3.6
