fecha,dolar_oficial
2002-03-31,2.9
2002-04-30,2.9
2002-05-31,3.6
2002-06-30,3.8
2002-07-31,3.7
2002-08-31,3.6
2002-09-30,3.7
2002-10-31,3.5
2002-11-30,3.6
2002-12-31,3.4
2003-01-31,3.2
2003-02-28,3.2
2003-03-31,3.0
2003-04-30,2.8
2003-05-31,2.9
2003-06-30,2.8
2003-07-31,2.9
2003-08-31,3.0
2003-09-30,2.9
2003-10-31,2.9
2003-11-30,3.0
2003-12-31,2.9
2004-01-31,2.9
2004-02-29,2.9
2004-03-31,2.9
2004-04-30,2.9
2004-05-31,3.0
2004-06-30,3.0
2004-07-31,3.0
2004-08-31,3.0
2004-09-30,3.0
2004-10-31,3.0
2004-11-30,3.0
2004-12-31,3.0
2005-01-31,2.9
2005-02-28,2.9
2005-03-31,2.9
2005-04-30,2.9
2005-05-31,2.9
2005-06-30,2.9
2005-07-31,2.9
2005-08-31,2.9
2005-09-30,2.9
2005-10-31,3.0
2005-11-30,3.0
2005-12-31,3.0
2006-01-31,3.1
2006-02-28,3.1
2006-03-31,3.1
2006-04-30,3.0
2006-05-31,3.1
2006-06-30,3.1
2006-07-31,3.1
2006-08-31,3.1
2006-09-30,3.1
2006-10-31,3.1
2006-11-30,3.1
2006-12-31,3.1
2007-01-31,3.1
2007-02-28,3.1
2007-03-31,3.1
2007-04-30,3.1
2007-05-31,3.1
2007-06-30,3.1
2007-07-31,3.1
2007-08-31,3.2
2007-09-30,3.1
2007-10-31,3.1
2007-11-30,3.1
2007-12-31,3.1
2008-01-31,3.2
2008-02-29,3.2
2008-03-31,3.2
2008-04-30,3.2
2008-05-31,3.1
2008-06-30,3.0
2008-07-31,3.0
2008-08-31,3.0
2008-09-30,3.1
2008-10-31,3.4
2008-11-30,3.4
2008-12-31,3.5
2009-01-31,3.5
2009-02-28,3.6
2009-03-31,3.7
2009-04-30,3.7
2009-05-31,3.8
2009-06-30,3.8
2009-07-31,3.8
2009-08-31,3.9
2009-09-30,3.8
2009-10-31,3.8
2009-11-30,3.8
2009-12-31,3.8
2010-01-31,3.8
2010-02-28,3.9
2010-03-31,3.9
2010-04-30,3.9
2010-05-31,3.9
2010-06-30,3.9
2010-07-31,3.9
2010-08-31,4.0
2010-09-30,4.0
2010-10-31,4.0
2010-11-30,4.0
2010-12-31,4.0
2011-01-31,4.0
2011-02-28,4.0
2011-03-31,4.0
2011-04-30,4.1
2011-05-31,4.1
2011-06-30,4.1
2011-07-31,4.1
2011-08-31,4.2
2011-09-30,4.2
2011-10-31,4.2
2011-11-30,4.3
2011-12-31,4.3
2012-01-31,4.3
2012-02-29,4.4
2012-03-31,4.4
2012-04-30,4.4
2012-05-31,4.5
2012-06-30,4.5
2012-07-31,4.6
2012-08-31,4.6
2012-09-30,4.7
2012-10-31,4.8
2012-11-30,4.8
2012-12-31,4.9
2013-01-31,5.0
2013-02-28,5.0
2013-03-31,5.1
2013-04-30,5.2
2013-05-31,5.3
2013-06-30,5.4
2013-07-31,5.5
2013-08-31,5.7
2013-09-30,5.8
2013-10-31,5.9
2013-11-30,6.1
2013-12-31,6.5
2014-01-31,8.0
2014-02-28,7.9
2014-03-31,8.0
2014-04-30,8.0
2014-05-31,8.1
2014-06-30,8.1
2014-07-31,8.2
2014-08-31,8.4
2014-09-30,8.5
2014-10-31,8.5
2014-11-30,8.5
2014-12-31,8.6
2015-01-31,8.6
2015-02-28,8.7
2015-03-31,8.8
2015-04-30,8.9
2015-05-31,9.0
2015-06-30,9.1
2015-07-31,9.2
2015-08-31,9.3
2015-09-30,9.4
2015-10-31,9.6
2015-11-30,9.7
2015-12-31,13.0
2016-01-31,13.9
2016-02-29,15.6
2016-03-31,14.6
2016-04-30,14.3
2016-05-31,14.0
2016-06-30,14.9
2016-07-31,15.0
2016-08-31,14.9
2016-09-30,15.3
2016-10-31,15.2
2016-11-30,15.8
2016-12-31,15.8
2017-01-31,15.9
2017-02-28,15.5
2017-03-31,15.4
2017-04-30,15.4
2017-05-31,16.1
2017-06-30,16.6
2017-07-31,17.7
2017-08-31,17.4
2017-09-30,17.3
2017-10-31,17.7
2017-11-30,17.4
2017-12-31,18.8
2018-01-31,19.6
2018-02-28,20.1
2018-03-31,20.1
2018-04-30,20.7
2018-05-31,24.9
2018-06-30,28.9
2018-07-31,27.3
2018-08-31,37.1
2018-09-30,40.9
2018-10-31,36.2
2018-11-30,38.0
2018-12-31,37.8
2019-01-31,37.0
2019-02-28,39.0
2019-03-31,43.4
2019-04-30,44.0
2019-05-31,44.9
2019-06-30,42.5
2019-07-31,43.9
2019-08-31,59.1
2019-09-30,57.6
2019-10-31,59.7
2019-11-30,59.9
2019-12-31,59.9
2020-01-31,60.3
2020-02-29,62.2
2020-03-31,64.5
2020-04-30,66.8
2020-05-31,68.5
2020-06-30,70.5
2020-07-31,72.3
2020-08-31,74.2
2020-09-30,76.2
2020-10-31,78.3
2020-11-30,81.3
2020-12-31,84.2
2021-01-31,87.3
2021-02-28,89.8
2021-03-31,92.0
2021-04-30,93.6
2021-05-31,94.7
2021-06-30,95.7
2021-07-31,96.7
2021-08-31,97.8
2021-09-30,98.7
2021-10-31,99.7
2021-11-30,100.9
2021-12-31,102.8
2022-01-31,105.0
2022-02-28,107.4
2022-03-31,111.0
2022-04-30,115.3
2022-05-31,120.2
2022-06-30,125.2
2022-07-31,131.2
2022-08-31,138.7
2022-09-30,147.3
2022-10-31,156.9
2022-11-30,167.3
2022-12-31,177.1
2023-01-31,186.9
2023-02-28,197.2
2023-03-31,209.0
2023-04-30,222.6
2023-05-31,239.3
2023-06-30,256.7
2023-07-31,275.3
2023-08-31,350.0
2023-09-30,350.0
2023-10-31,350.0
2023-11-30,360.5
2023-12-31,808.5
2024-01-31,826.2
2024-02-29,842.2
2024-03-31,857.4
2024-04-30,864.8
